page,incoming
Fürstenwalde/Spree,1826
Guben,2106
Hennigsdorf,1327
Herzberg (Elster),878
Jüterbog,2409
Königs Wusterhausen,1605
Kyritz,979
Lübben (Spreewald),2357
Lübbenau/Spreewald,745
Luckenwalde,1849
Ludwigsfelde,1115
Nauen,1845
Neuenhagen bei Berlin,237
Neuruppin,2967
Oranienburg,2901
Prenzlau,3282
Rathenow,2039
Schwedt/Oder,1945
Seelow,647
Spremberg,2138
Strausberg,1814
Teltow,2728
Templin,1761
Zossen,878
Freising,8741
Garmisch-Partenkirchen,6649
Kulmbach,4023
Marktredwitz,1083
Wunsiedel,1135
Schwabach,2124
Abensberg,1030
Neustadt an der Donau,385
Aichach,1961
Altötting,1982
Neuötting,478
Alzenau,1291
Bad Aibling,1186
Bad Brückenau,678
Bad Kissingen,6775
Bad Kötzting,512
Bad Neustadt an der Saale,582
Bad Reichenhall,2638
Bad Tölz,2661
Bad Windsheim,1408
Bad Wörishofen,781
Berchtesgaden,7974
Bogen (Stadt),1757
Burghausen,2228
Burglengenfeld,719
Maxhütte-Haidhof,327
Teublitz,218
Cham (Oberpfalz),3520
Dachau,4908
Dillingen an der Donau,2534
Lauingen (Donau),662
Dingolfing,1227
Dinkelsbühl,2110
Donauwörth,2333
Ebersberg,1785
Grafing bei München,750
Eggenfelden,1144
Eichstätt,9016
Erding,2524
Forchheim,2348
Freilassing,1014
Freyung,1074
Friedberg (Bayern),1939
Fürstenfeldbruck,2162
Furth im Wald,668
Domažlice,947
Füssen,3469
Germering,463
Gerolzhofen,663
Grafenau (Niederbayern),1290
Günzburg,2396
Leipheim,419
Gunzenhausen,4056
Hammelburg,1422
Haßfurt,673
Hersbruck,1138
Herzogenaurach,686
Höchstadt an der Aisch,357
Illertissen,651
Karlstadt,887
Kelheim,2155
Kitzingen,2468
Kronach,2950
Krumbach (Schwaben),1185
Landau an der Isar,577
Landsberg am Lech,3060
Lauf an der Pegnitz,1113
Lichtenfels (Oberfranken),2502
Lindau (Bodensee),5662
Lindenberg im Allgäu,398
Lohr am Main,1206
Mainburg,545
Marktheidenfeld,840
Marktoberdorf,873
Miesbach,1536
Hausham,399
Miltenberg,1983
Mindelheim,1948
Moosburg an der Isar,942
Mühldorf am Inn,1664
Münchberg,1515
Murnau am Staffelsee,1267
Naila,655
Neuburg an der Donau,2212
Neustadt an der Aisch,1179
Neustadt bei Coburg,1019
Neutraubling,310
Nördlingen,2969
Obernburg am Main,520
Elsenfeld,217
Erlenbach am Main,288
Oberstdorf,4784
Ochsenfurt,800
Parsberg,562
Pegnitz (Stadt),1452
Penzberg,802
Pfaffenhofen an der Ilm,1101
Pfarrkirchen,917
Pocking,561
Ruhstorf an der Rott,306
Regen (Stadt),1781
Zwiesel,548
Roth,3814
Rothenburg ob der Tauber,2264
Schongau,1747
Peiting,507
Schrobenhausen,1075
Schwabmünchen,570
Schwandorf,2342
Selb,1605
Simbach am Inn,706
Braunau am Inn,2209
Sonthofen,1264
Immenstadt im Allgäu,776
Starnberg,2422
Sulzbach-Rosenberg,1889
Tegernsee (Stadt),1365
Rottach-Egern,522
Bad Wiessee,519
Gmund am Tegernsee,541
Tirschenreuth,1495
Traunreut,507
Trostberg,663
Viechtach,733
Vilsbiburg,809
Vilshofen an der Donau,599
Waldkraiburg,260
Waldsassen,817
Cheb,5583
Wasserburg am Inn,920
Weilheim in Oberbayern,1442
Weißenburg in Bayern,3081
Wolfratshausen,1008
Geretsried,473
Baden-Baden,9096
Aalen,3748
Achern,928
Albstadt,1215
Backnang,1988
Bad Krozingen,443
Staufen im Breisgau,719
Bad Mergentheim,1862
Bad Säckingen,1198
Bad Saulgau,1159
Bad Waldsee,1257
Bad Wildbad,814
Balingen,2299
Biberach an der Riß,2476
Bietigheim-Bissingen,1895
Besigheim,715
Blaubeuren,1230
Laichingen,311
Böblingen,2646
Sindelfingen,1861
Breisach am Rhein,938
Bretten,1505
Bruchsal,3440
Buchen (Odenwald),1155
Bühl (Baden),1638
Calw,2689
Crailsheim,2089
Donaueschingen,2119
Eberbach,1487
Ehingen (Donau),1917
Ellwangen (Jagst),1396
Emmendingen,1196
Esslingen am Neckar,4791
Ettlingen,1578
Freudenstadt,2306
Gaggenau,848
Gernsbach,978
Geislingen an der Steige,1117
Göppingen,3701
Haslach im Kinzigtal,535
Hausach,364
Wolfach,723
Hechingen,2556
Heidenheim an der Brenz,2147
Herrenberg,1734
Horb am Neckar,1486
Kehl,1878
Kirchheim unter Teck,1409
Künzelsau,1436
Lahr/Schwarzwald,1865
Laupheim,1195
Leonberg,1984
Leutkirch im Allgäu,1383
Ludwigsburg,8455
Kornwestheim,842
Metzingen,660
Mosbach,2380
Mühlacker,960
Müllheim (Baden),1187
Münsingen (Württemberg),1390
Nagold (Stadt),1256
Neckarsulm,1912
Nürtingen,2111
Öhringen,682
Pfullendorf,1607
Radolfzell am Bodensee,810
Rastatt,3642
Rheinfelden (Baden),1353
Riedlingen,1142
Rottenburg am Neckar,2045
Rottweil,3647
Schopfheim,1165
Schorndorf,1837
Schramberg,1428
Schwäbisch Gmünd,5681
Schwäbisch Hall,5710
Schwetzingen,1378
Sigmaringen,5170
Singen (Hohentwiel),2516
Sinsheim,2141
Stockach,1058
Tauberbischofsheim,2365
Titisee-Neustadt,865
Tuttlingen,2795
Überlingen,559
Vaihingen an der Enz,1177
Waiblingen,1504
Fellbach,1269
Waldkirch,961
Waldshut-Tiengen,1669
Wangen im Allgäu,1268
Weinheim,2553
Wertheim,2366
Wiesloch,1168
Walldorf (Baden),609
Bremerhaven,14111
